Time(S),GPU0_Power(W)
0.27,274.37
0.27,273.32
0.52,275.48
0.77,279.52
1.02,280.58
1.27,283.21
1.52,276.95
1.76,282.93
2.01,279.37
2.26,276.74
2.50,279.59
2.75,276.72
3.00,275.84
3.25,279.29
3.55,280.00
3.92,313.31
4.17,293.80
4.42,436.00
4.66,281.77
4.91,274.57
5.18,444.59
5.48,448.15
5.75,453.65
6.02,460.16
6.32,329.41
6.67,355.39
6.94,401.59
7.21,446.55
7.47,458.57
7.74,272.61
8.06,433.34
8.33,406.33
8.60,376.69
8.86,346.57
9.13,343.81
9.39,449.22
9.66,444.13
9.93,449.19
10.20,452.70
10.47,308.89
10.73,288.79
10.97,275.52
