Time(S),GPU0_Power(W)
0.02,35.65
0.02,34.69
0.22,33.55
0.43,33.55
0.63,33.49
0.83,33.52
1.03,33.53
1.23,33.53
1.43,33.53
1.63,33.63
1.83,31.72
2.03,31.72
2.23,31.71
2.43,31.61
2.63,31.61
2.83,31.6
3.03,31.61
3.23,31.71
3.43,31.71
3.63,31.71
3.83,31.72
4.03,31.8
4.23,31.71
4.43,31.71
4.63,31.8
4.83,31.9
5.03,31.61
5.23,31.6
5.43,35.37
5.63,34.03
5.83,33.44
6.03,33.44
6.23,33.44
6.43,33.44
6.63,33.53
6.83,33.45
7.03,33.44
7.23,33.44
7.43,33.44
7.63,33.53
7.83,33.44
8.03,33.35
8.23,33.28
8.44,33.33
9.78,33.24
10.07,33.42
10.39,33.32
10.59,33.34
10.79,33.25
11.36,33.42
12.14,33.33
12.36,33.34
12.67,33.33
13.22,33.33
13.52,33.33
13.72,33.24
13.92,33.33
14.12,33.43
14.32,33.33
14.52,33.33
14.72,33.24
14.92,33.33
15.12,33.33
15.32,33.33
15.52,33.33
15.72,33.33
15.92,33.33
16.12,33.52
16.32,33.43
16.52,33.33
16.72,33.33
16.92,33.33
17.12,33.43
17.32,33.36
17.52,34.41
17.72,33.34
17.92,34.55
18.12,35.06
18.32,33.29
18.52,33.28
18.72,33.97
18.92,33.46
19.12,33.45
19.32,33.36
19.52,33.62
19.83,33.62
20.03,33.36
20.23,45.89
20.43,42.8
20.63,34.26
20.83,33.37
21.03,33.29
21.23,60.26
21.43,33.45
21.72,33.28
21.97,33.94
22.17,41.01
22.37,55.95
22.57,33.48
22.77,33.4
22.97,33.39
23.17,33.38
23.37,33.5
23.57,33.39
23.77,33.55
23.97,33.55
24.25,33.55
24.45,33.4
24.72,38.54
24.92,33.72
25.12,33.51
25.32,36.35
25.52,46.18
25.76,46.18
25.96,41.11
26.16,56.24
26.36,33.36
26.86,34.53
27.06,33.76
27.26,33.42
27.46,33.43
27.66,63.81
27.86,33.4
28.06,33.49
28.26,33.51
28.46,45.85
28.66,42.42
28.86,33.4
29.06,33.48
29.26,33.38
29.46,71.82
29.66,37.5
29.86,33.49
30.06,33.49
30.26,33.48
30.46,57.38
30.66,39.2
30.86,33.38
31.06,33.47
31.26,33.49
31.46,33.47
31.66,33.45
31.86,59.14
32.06,33.49
32.26,33.61
32.46,43.97
32.66,33.56
32.86,33.41
33.06,33.38
33.26,33.45
33.46,33.34
33.66,33.34
33.86,33.43
34.06,33.45
34.26,33.43
34.46,33.33
34.66,33.43
34.86,33.33
35.06,33.43
35.26,35.55
