Time(S),GPU0_Power(W)
0.03,35.0
0.03,35.0
0.23,34.72
0.43,34.81
0.63,34.7
0.83,34.7
1.03,34.7
1.23,34.81
1.43,34.7
1.63,32.77
1.83,32.77
2.03,32.67
2.23,32.58
2.43,32.67
2.63,32.58
2.83,32.67
3.03,32.58
3.23,32.58
3.43,32.57
3.63,32.67
3.83,32.57
4.03,32.67
4.23,32.58
4.43,32.67
4.63,32.67
4.83,32.67
5.03,32.57
5.23,32.68
5.43,32.76
5.63,32.76
5.83,32.76
6.03,32.57
6.23,32.58
6.43,32.67
6.63,32.57
6.83,32.57
7.03,32.57
7.23,32.57
7.43,32.67
7.63,32.57
7.83,32.57
8.03,32.76
8.23,32.58
8.43,32.57
8.63,32.58
8.83,32.57
9.03,32.6
9.23,32.57
9.43,32.57
9.63,32.57
9.83,35.08
10.03,34.8
10.23,34.8
10.43,34.8
10.63,34.7
10.83,34.8
11.03,34.59
11.23,34.8
11.43,34.81
11.63,34.69
11.83,34.89
12.03,34.69
12.23,34.72
12.45,34.6
12.94,34.72
13.14,34.73
13.34,34.91
13.54,34.81
13.74,34.81
13.94,35.19
14.14,34.72
14.34,34.72
14.54,34.7
14.74,35.29
14.94,34.81
15.14,34.72
15.34,34.72
15.54,34.72
15.74,34.81
15.94,34.7
16.14,34.72
16.34,34.72
16.54,34.81
16.74,34.81
16.94,34.7
17.14,34.73
17.37,34.73
17.57,35.22
17.77,35.29
17.97,36.24
18.17,37.62
18.37,38.09
18.57,38.56
18.77,34.9
18.97,34.81
19.17,34.91
19.37,34.81
19.57,34.81
19.77,34.81
19.97,35.0
20.17,36.23
20.37,38.56
20.57,35.65
20.77,34.81
20.97,34.8
21.17,34.81
21.37,34.8
21.57,34.9
21.77,34.78
21.97,35.09
22.17,36.13
22.37,38.84
22.57,36.52
22.77,34.81
22.97,34.91
23.17,34.81
23.37,34.89
23.57,34.8
23.77,34.89
23.97,34.81
24.17,35.19
24.37,36.52
24.57,38.56
24.77,36.33
24.97,34.8
25.17,34.81
25.38,34.81
25.58,34.71
25.78,34.81
25.98,35.28
26.18,38.26
26.38,36.23
26.58,34.81
26.78,34.7
26.98,34.81
27.18,34.89
27.38,34.8
27.58,34.81
27.78,35.38
27.98,37.59
28.18,37.4
28.38,34.8
28.58,34.91
28.78,34.81
28.98,34.81
29.18,34.81
29.38,34.81
29.58,35.0
29.78,35.46
29.98,38.26
30.18,37.59
30.38,34.91
30.58,34.81
30.78,34.81
30.98,34.81
31.18,34.81
31.38,35.0
31.58,34.9
31.78,34.9
31.98,34.9
32.18,34.7
32.38,34.7
32.58,34.61
32.78,34.61
32.98,34.7
33.18,34.51
33.38,36.14
33.58,37.59
33.78,37.87
33.98,38.75
34.18,37.88
34.38,35.95
34.58,35.37
34.78,35.08
34.98,34.89
35.18,34.89
35.38,34.79
35.58,34.8
35.78,34.69
35.98,34.9
36.18,35.0
36.38,35.18
36.58,35.28
36.78,34.8
36.98,34.81
37.18,34.7
37.38,34.7
37.58,34.6
37.78,34.71
37.98,34.7
38.18,34.6
38.38,34.6
38.58,34.6
38.78,34.7
38.98,34.61
39.18,34.61
39.38,36.33
39.58,37.3
39.78,38.54
39.98,38.54
40.18,36.52
40.38,35.56
