Time(S),GPU0_Power(W)
0.00,32.66
0.20,32.41
0.40,32.51
0.60,32.49
0.80,32.48
1.00,32.48
1.20,32.48
1.40,32.48
1.60,32.48
1.80,32.48
2.00,32.48
2.20,32.57
2.40,32.48
2.60,32.48
2.80,32.48
3.00,32.5
3.20,32.49
3.40,32.5
3.60,32.77
3.80,32.48
4.00,32.41
4.27,32.41
4.47,32.49
4.67,32.49
4.87,32.49
5.07,32.59
5.29,32.67
5.49,32.5
5.73,32.5
5.93,32.48
6.13,32.57
6.33,32.48
6.53,32.6
6.73,32.49
6.93,32.51
7.13,32.67
7.33,32.5
7.53,32.86
7.73,32.57
7.93,32.48
8.13,32.49
8.33,32.58
8.53,32.49
8.73,32.49
8.93,32.69
9.19,32.69
9.39,32.49
9.59,32.49
9.79,32.57
9.99,32.49
10.19,32.48
10.39,32.49
10.59,32.58
10.79,32.57
10.99,32.6
11.21,32.6
11.41,32.48
11.61,32.48
11.81,32.49
12.01,32.49
12.21,32.57
12.41,32.57
12.61,32.49
12.81,32.6
13.01,32.58
13.21,32.49
13.41,32.49
13.61,32.49
13.81,32.49
14.01,32.49
14.21,32.58
14.41,32.48
14.67,32.48
14.87,32.47
15.07,32.48
15.27,32.58
15.47,32.49
15.67,32.58
15.87,32.57
16.07,32.49
16.27,32.48
16.47,32.57
16.67,32.48
16.87,32.57
17.07,32.58
17.27,32.58
17.47,32.49
17.67,32.49
17.87,32.57
18.07,32.48
18.27,32.48
18.47,32.58
18.67,32.48
18.87,32.57
19.07,32.51
19.31,32.51
19.52,32.57
19.72,32.57
19.92,32.48
20.12,32.48
20.32,32.48
20.52,32.48
20.72,32.48
20.92,34.62
21.17,35.19
21.37,34.7
21.57,35.0
21.77,34.63
21.98,35.6
22.18,34.61
22.69,34.7
22.89,34.69
23.09,34.59
23.29,34.6
23.49,34.62
23.72,34.62
23.92,34.7
24.12,34.69
24.32,34.72
24.52,34.71
24.72,34.9
24.92,34.71
25.12,34.7
25.32,34.7
25.52,34.81
25.72,34.5
25.92,34.41
26.12,34.6
26.32,34.6
26.52,34.51
26.72,34.5
26.92,34.53
27.12,34.7
27.32,35.36
27.52,34.98
27.72,34.79
27.92,34.79
28.12,34.58
28.32,34.58
28.52,34.68
28.72,34.59
28.92,34.58
29.12,34.49
29.32,34.49
29.52,34.49
29.72,34.49
29.92,34.68
30.12,34.59
30.32,34.49
30.52,34.59
30.72,34.5
30.92,34.69
31.12,34.59
31.32,34.4
31.52,34.5
31.72,34.5
31.92,34.59
32.12,34.5
32.32,34.5
32.52,34.8
32.72,34.74
32.92,34.7
33.12,34.7
33.32,34.61
33.52,34.61
33.72,34.7
33.92,34.76
34.12,34.83
34.32,35.1
34.52,35.19
34.72,34.58
34.92,34.69
35.12,34.68
35.32,34.68
35.52,34.68
35.72,34.49
35.92,34.68
36.12,34.68
36.32,34.58
36.52,34.58
36.72,34.49
36.93,34.59
37.13,34.49
37.33,34.68
37.53,34.58
37.73,34.58
37.93,34.59
38.13,34.58
38.33,34.49
38.53,34.49
38.73,34.68
38.93,34.49
39.13,34.49
39.33,34.68
39.53,34.58
39.73,34.58
39.93,34.58
40.13,34.49
40.33,34.49
40.53,34.49
40.73,34.68
40.93,34.68
41.13,34.68
41.33,34.59
41.53,34.58
41.73,34.49
41.93,34.5
42.13,34.49
42.33,34.58
42.53,34.68
42.73,34.68
42.93,34.68
43.13,34.58
43.33,34.49
43.53,34.58
43.73,34.68
43.93,34.49
44.13,34.6
44.33,35.26
44.53,37.76
44.73,38.35
44.93,36.71
45.13,35.94
45.33,35.55
45.53,34.98
45.73,34.88
45.93,34.68
46.13,34.6
46.33,34.58
46.53,34.58
46.73,34.58
46.93,34.58
47.13,34.68
47.33,34.49
47.53,34.69
47.73,34.59
47.93,34.59
48.13,34.69
48.33,34.69
48.53,34.59
48.73,34.59
48.93,34.59
49.13,34.69
49.33,34.89
49.53,35.55
49.73,37.49
49.93,38.05
50.13,39.1
50.33,36.71
50.53,35.65
50.73,35.17
50.93,34.88
51.13,34.79
51.33,34.68
51.53,34.68
51.73,34.59
51.93,34.68
52.13,34.58
52.33,34.58
52.53,34.68
52.73,34.58
52.93,34.59
53.13,34.59
53.33,34.5
53.53,34.59
53.73,34.7
53.93,34.99
54.13,37.09
54.33,37.97
54.53,38.06
54.73,38.63
54.93,38.44
55.13,38.62
55.33,38.63
55.53,38.25
55.73,38.24
55.93,38.72
56.13,38.82
56.33,37.0
56.53,36.13
56.73,34.69
56.93,34.69
57.13,34.59
57.33,34.69
57.53,34.59
57.73,36.33
57.93,38.35
58.13,38.24
58.33,37.78
58.53,36.13
58.73,35.36
58.93,34.98
59.13,34.79
59.33,34.69
59.53,34.69
59.73,34.68
59.93,34.68
60.13,34.68
60.33,34.69
60.53,34.68
60.73,34.69
60.93,34.68
61.13,34.59
61.33,34.58
61.53,34.68
61.74,34.69
61.94,34.69
62.14,34.59
62.34,34.69
62.54,34.7
62.74,36.71
62.94,38.26
63.14,34.69
63.34,34.7
63.57,35.38
63.77,34.7
63.97,35.38
64.17,34.61
64.42,34.61
64.62,34.51
64.82,34.7
65.02,34.49
65.22,34.59
65.42,34.69
65.62,34.69
65.82,34.69
66.02,34.69
66.22,34.63
66.42,34.63
66.62,34.63
66.83,34.63
67.03,34.53
67.23,35.78
67.43,34.61
67.63,34.6
67.83,34.52
68.03,34.62
68.23,35.58
68.43,34.7
68.63,34.81
68.83,34.81
69.03,34.64
69.23,34.7
69.43,34.6
69.63,34.8
69.83,34.63
70.03,35.0
70.23,34.61
70.43,34.7
70.63,34.78
70.83,34.6
71.08,34.6
71.28,34.59
71.48,34.59
71.68,34.59
71.88,36.81
