Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.13,122.28,146.71,117.15,128.96
0.13,122.27,146.73,117.13,128.89
0.33,122.32,146.81,117.12,128.97
0.53,122.32,146.9,117.12,128.99
0.73,122.32,147.0,116.92,128.84
0.93,122.08,146.91,116.95,128.92
1.13,122.1,146.94,116.93,128.89
1.33,119.52,146.98,116.95,128.89
1.53,109.04,146.39,116.97,120.66
1.73,96.91,131.18,107.15,107.37
1.93,86.72,118.25,97.88,96.37
2.14,77.0,105.22,88.57,85.23
2.35,72.62,90.77,78.29,74.08
2.55,72.51,81.79,69.58,73.61
2.76,72.47,81.41,69.36,73.44
2.96,72.45,81.14,69.28,73.44
3.17,72.42,80.89,69.29,73.39
3.38,72.38,80.73,69.28,73.4
3.59,72.35,80.53,69.26,73.42
3.79,72.34,80.4,69.21,73.29
4.00,72.33,80.29,69.24,73.35
4.21,72.35,80.2,69.23,73.33
4.41,72.36,80.09,69.25,73.27
4.62,72.36,80.0,69.24,73.31
4.82,72.34,79.92,69.21,73.26
5.03,72.35,79.8,69.24,73.33
5.26,72.27,79.57,69.17,73.32
5.96,73.26,79.35,69.19,73.3
6.39,75.38,79.1,70.89,73.23
7.52,73.97,78.92,72.69,73.23
8.32,73.33,78.89,72.68,73.26
8.52,72.67,78.84,72.65,73.23
8.72,72.28,78.78,72.27,73.18
8.93,72.3,78.69,71.56,73.19
9.13,72.28,78.66,70.87,73.11
9.34,72.29,78.62,69.59,73.17
9.72,81.71,78.59,69.22,73.09
9.97,92.58,78.56,69.18,73.1
10.18,101.86,78.5,69.18,73.04
10.38,110.16,78.45,69.12,73.04
10.58,119.23,78.44,69.18,73.06
10.78,118.56,78.4,69.17,72.98
10.98,117.74,78.36,69.2,73.04
11.19,117.55,78.2,69.14,72.96
12.04,117.53,78.08,69.17,73.03
12.73,117.56,78.17,69.14,72.99
13.05,117.58,78.24,69.13,73.01
13.92,117.55,78.17,69.12,72.9
14.71,117.58,78.1,69.13,72.94
15.56,117.57,78.1,69.15,72.88
15.77,117.56,78.13,69.15,72.96
15.98,117.56,78.1,69.14,72.89
16.20,117.54,78.05,69.15,72.95
16.41,117.54,78.02,69.11,72.96
16.62,117.57,77.96,69.12,72.88
16.83,117.62,77.97,69.14,72.95
17.04,117.66,77.94,69.14,72.92
17.25,117.67,77.92,69.16,72.91
17.47,117.66,77.94,69.14,72.94
17.68,117.63,77.93,69.1,72.86
17.89,117.63,77.9,69.1,72.91
18.10,117.67,77.85,69.11,72.89
18.31,117.71,77.84,69.13,72.89
18.52,117.69,77.82,69.12,72.94
18.73,117.68,77.82,69.13,72.86
18.94,117.68,77.85,69.14,72.92
19.15,117.66,77.8,69.14,72.89
19.36,117.67,77.74,69.13,72.84
19.61,117.67,77.65,69.08,72.81
20.55,117.6,77.62,69.09,72.79
21.13,117.71,79.22,69.09,72.85
21.36,117.68,92.12,69.09,72.77
21.57,117.68,105.02,69.38,72.82
21.81,117.69,116.38,79.69,72.83
22.01,117.73,125.68,87.29,72.76
22.21,117.67,135.32,95.46,82.31
22.41,117.68,134.8,103.3,91.26
22.61,120.0,135.72,112.79,101.62
22.81,119.96,135.94,113.93,111.65
23.01,120.04,136.21,113.49,122.65
23.21,120.07,136.47,113.49,124.45
23.41,117.82,136.11,112.7,123.82
23.87,117.83,136.25,112.71,123.86
24.07,117.8,136.46,112.73,123.78
24.27,117.83,136.51,112.72,123.88
24.47,119.36,138.66,115.33,126.97
24.67,119.92,139.2,115.78,127.48
24.87,121.01,140.1,116.73,128.57
25.07,123.8,142.66,118.01,130.38
25.27,123.97,142.85,118.01,130.38
25.47,121.07,140.11,113.98,125.96
25.99,119.52,139.03,114.65,126.16
26.56,123.23,142.64,117.0,128.62
26.76,124.52,143.26,117.28,128.85
27.35,123.86,143.64,116.25,128.06
27.92,123.83,144.06,116.26,128.15
28.52,123.64,142.42,116.22,129.35
29.10,123.91,142.76,116.28,129.43
29.70,123.68,144.15,116.9,128.1
30.50,123.88,144.58,117.02,128.09
31.13,122.92,143.87,116.92,129.27
31.71,123.08,144.01,116.97,129.3
31.91,117.98,140.26,112.77,124.5
33.18,119.61,141.06,114.43,126.04
33.98,124.76,144.02,117.38,128.77
34.18,124.79,144.09,117.48,128.7
34.38,124.67,144.25,117.52,128.81
34.80,128.27,147.68,120.72,131.42
35.00,122.54,144.58,116.51,127.41
35.20,122.57,144.54,116.53,127.38
35.40,122.46,144.66,116.43,127.39
35.60,122.49,144.71,116.43,127.48
35.80,119.36,141.54,113.35,124.92
36.00,117.84,140.98,112.83,124.48
36.20,117.84,141.01,112.81,124.53
36.40,117.87,141.03,112.8,124.46
36.60,117.88,141.02,112.8,124.52
36.80,117.85,141.05,112.84,124.52
37.00,117.85,141.06,112.81,124.48
37.20,117.82,141.06,112.79,124.55
37.40,118.52,141.85,113.06,124.72
37.64,119.25,142.56,113.73,125.44
