Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.14,122.15,144.13,117.13,128.8
0.14,122.21,144.18,117.13,128.77
0.34,122.19,144.23,117.15,128.77
0.54,122.14,144.34,117.16,128.76
0.74,122.12,144.35,116.98,128.68
0.94,116.41,144.4,116.96,128.75
1.14,104.03,138.63,111.68,116.71
1.34,94.39,124.86,102.47,104.43
1.54,83.94,112.23,93.03,93.36
1.75,73.98,100.33,83.25,82.27
1.95,72.61,85.3,73.06,73.6
2.16,72.49,80.75,69.61,73.42
2.37,72.39,80.49,69.5,73.37
2.57,72.37,80.28,69.44,73.32
2.78,72.35,80.13,69.43,73.33
2.99,72.38,79.96,69.43,73.31
3.20,72.38,79.8,69.41,73.26
3.40,72.37,79.66,69.42,73.26
3.61,72.35,79.56,69.38,73.28
3.81,72.34,79.48,69.37,73.26
4.02,72.33,79.36,69.36,73.28
4.23,72.3,79.27,69.38,73.25
4.43,72.32,79.2,69.38,73.24
4.64,72.32,79.15,69.38,73.24
4.85,72.32,79.13,69.39,73.19
5.06,72.3,79.03,69.37,73.18
5.27,72.31,78.96,69.37,73.13
5.47,72.25,78.89,69.38,73.15
5.72,72.36,78.71,69.36,73.12
6.43,72.32,78.57,69.34,73.07
6.83,72.25,78.32,69.34,73.08
7.98,72.27,78.23,69.3,75.3
8.76,72.27,78.21,69.31,75.84
8.97,72.27,78.19,69.3,75.98
9.18,72.23,78.18,69.32,75.96
9.38,72.19,78.09,69.32,75.98
9.58,72.18,78.04,69.32,75.91
9.79,72.19,77.99,69.3,74.94
10.15,81.29,78.02,69.31,74.2
10.39,92.43,78.0,69.29,73.56
10.60,100.61,77.97,69.3,73.05
10.80,108.99,77.92,69.31,72.97
11.00,117.88,77.88,69.33,72.98
11.20,117.55,77.82,69.32,72.96
11.64,117.59,77.79,69.28,72.86
12.55,117.53,77.65,69.24,72.88
13.36,117.53,77.75,69.23,72.8
14.26,117.58,77.79,69.2,72.83
14.94,117.54,77.77,69.22,72.81
15.15,117.56,77.76,69.22,72.83
15.36,117.56,77.72,69.25,72.8
15.57,117.57,77.74,69.24,72.79
15.78,117.66,77.71,69.25,72.82
15.99,117.65,77.69,69.24,72.81
16.20,117.66,77.69,69.23,72.84
16.41,117.65,77.67,69.25,72.8
16.62,117.66,77.69,69.25,72.82
16.90,117.67,77.62,69.25,72.81
17.13,117.65,77.58,69.26,72.78
17.34,117.58,77.58,69.25,72.84
17.55,117.56,77.59,69.25,72.78
17.76,117.55,77.62,69.25,72.81
17.97,117.56,77.6,69.28,72.8
18.18,117.59,77.56,69.28,72.78
18.46,117.6,80.39,69.28,72.78
18.70,117.61,92.11,69.27,72.75
18.90,117.62,105.83,71.02,72.77
19.14,117.65,115.14,80.54,72.73
19.34,117.67,128.26,89.17,80.63
19.54,117.63,134.43,95.58,89.07
19.74,119.46,134.48,105.49,99.78
19.94,120.43,135.02,113.54,109.46
20.14,120.46,135.27,113.81,120.36
20.34,120.51,135.5,113.6,124.81
20.54,120.5,135.75,113.61,124.45
20.74,117.76,135.35,112.68,123.76
21.13,117.79,135.45,112.68,123.8
21.33,117.77,135.55,112.71,123.81
21.57,117.88,136.21,113.28,125.06
21.77,119.12,137.33,114.58,125.9
21.97,119.47,138.0,114.87,126.53
22.17,120.3,138.72,115.48,127.15
22.37,122.02,139.92,116.15,127.98
22.57,125.28,141.74,118.25,128.85
22.77,125.84,141.51,118.04,128.52
22.97,125.67,141.0,117.62,127.84
23.17,125.09,140.68,117.2,127.52
23.37,122.89,139.7,116.4,126.51
23.57,119.94,137.57,113.59,124.91
23.77,117.64,137.03,112.74,124.04
23.97,117.62,137.09,112.71,124.02
24.17,117.62,137.2,112.74,124.04
24.37,117.64,137.3,112.75,124.06
24.57,117.66,137.36,112.74,124.01
24.77,117.87,137.58,112.86,124.19
25.00,118.71,138.51,113.59,124.81
25.20,119.45,139.32,114.3,125.62
