Time(S),GPU0_Power(W)
0.23,146.0
0.23,146.79
0.43,147.78
0.63,148.33
0.83,148.52
1.03,148.52
1.23,148.54
1.43,137.63
1.63,124.65
1.83,112.15
2.03,99.28
2.23,84.98
2.43,82.6
2.63,82.37
2.83,82.1
3.03,81.8
3.23,81.75
3.43,81.6
3.63,81.37
3.83,81.35
4.03,81.25
4.23,80.92
4.73,80.88
5.23,80.75
5.43,90.86
5.63,103.78
5.83,114.54
6.03,126.4
6.23,138.52
6.43,141.39
6.63,140.76
6.83,140.92
7.03,141.18
7.23,141.4
7.43,143.35
7.63,148.88
7.83,152.91
8.03,152.99
8.23,153.26
8.43,152.79
8.63,148.97
8.83,143.12
9.03,143.02
9.23,143.01
9.43,143.15
9.63,143.1
9.83,143.24
10.03,143.4
10.23,144.23
