Time(S),GPU0_Power(W)
0.15,154.34
0.15,154.85
0.35,155.85
0.55,155.81
0.75,155.66
0.95,155.8
1.15,155.8
1.35,155.67
1.55,146.26
1.75,132.43
1.95,118.29
2.15,105.15
2.35,90.08
2.55,85.22
2.75,84.8
2.95,84.61
3.15,84.32
3.35,84.01
3.55,83.93
3.75,83.73
3.95,83.44
4.15,83.38
4.35,83.25
4.55,82.97
4.75,82.92
4.95,82.84
5.15,82.6
5.35,82.3
5.85,82.19
6.31,82.07
6.51,83.69
6.71,94.21
6.91,104.98
7.11,117.14
7.31,129.35
7.51,142.68
7.71,144.4
7.91,144.29
8.11,144.64
8.49,144.93
8.69,145.02
8.89,145.29
9.15,145.41
9.35,145.81
10.05,145.85
10.25,146.07
10.45,146.09
10.65,146.3
10.93,146.33
11.13,146.51
11.34,146.51
11.54,146.6
11.74,146.96
11.94,147.23
12.14,147.29
12.34,148.04
12.69,148.69
12.89,148.78
13.23,148.91
13.43,148.2
13.75,148.23
13.95,149.46
14.16,149.29
14.36,151.21
14.56,151.8
14.76,151.43
14.96,150.43
15.20,150.54
15.40,148.83
15.72,149.83
15.92,150.13
16.12,150.65
16.32,150.96
16.56,151.5
16.76,151.37
16.96,151.09
17.16,149.93
17.40,150.52
17.60,150.42
17.80,149.6
18.00,149.55
18.20,149.68
18.40,148.94
18.60,148.28
18.80,148.22
19.00,148.26
19.20,148.16
19.40,148.23
19.60,148.3
19.80,148.93
