Time(S),GPU0_Power(W)
0.22,149.07
0.22,149.88
0.42,150.79
0.62,151.26
0.82,151.36
1.02,151.32
1.22,151.33
1.42,151.51
1.62,150.33
1.82,136.09
2.02,122.45
2.22,109.71
2.42,95.09
2.62,84.28
2.82,83.3
3.02,82.77
3.22,82.56
3.42,82.32
3.62,82.04
3.82,81.96
4.02,81.83
4.22,81.57
4.42,81.53
4.62,81.32
5.10,81.18
5.54,81.07
5.74,80.94
5.94,90.45
6.14,103.21
6.34,115.15
6.54,128.15
6.75,140.56
6.95,143.16
7.15,142.56
7.35,142.83
7.67,143.1
7.87,143.23
8.07,143.36
8.27,143.62
8.47,143.69
8.67,143.8
8.87,144.04
9.07,144.07
9.27,144.15
9.47,144.37
9.67,144.41
9.87,144.55
10.14,144.57
10.34,144.75
10.54,144.71
10.74,144.82
10.94,144.9
11.19,145.05
11.39,145.11
11.59,145.16
11.79,145.24
12.09,145.38
12.29,145.48
12.56,145.41
12.76,145.55
12.96,145.62
13.16,145.56
13.36,145.66
13.56,145.77
13.76,145.7
13.96,145.74
14.20,145.81
14.50,145.94
14.70,146.01
14.94,145.92
15.14,146.03
15.34,146.13
15.55,146.1
15.75,146.15
15.95,146.29
16.18,146.29
16.38,146.24
16.58,146.51
16.78,146.66
16.98,146.86
17.18,148.57
17.38,150.18
17.58,151.95
17.78,153.93
17.98,155.24
18.18,155.17
18.38,155.55
18.58,155.95
18.78,154.71
18.98,155.0
19.18,155.01
19.38,154.51
19.58,154.97
19.78,155.48
19.98,155.24
20.18,155.44
20.38,155.81
20.58,155.31
20.78,155.51
20.98,156.11
21.18,155.96
21.38,157.19
21.58,157.17
21.78,156.82
21.98,156.57
22.18,157.09
22.38,156.6
22.58,156.02
22.78,155.52
22.98,154.77
23.18,153.91
23.38,154.27
23.58,153.91
23.78,154.16
23.98,154.74
24.18,155.21
24.38,155.39
24.58,155.98
24.78,157.16
24.98,157.74
25.18,157.82
25.38,157.25
25.58,157.63
25.78,157.14
25.98,156.87
26.18,157.31
26.38,157.25
26.58,156.88
26.78,156.45
26.98,156.28
27.18,156.67
27.38,156.69
27.58,157.02
27.78,157.55
27.98,157.54
28.18,157.67
28.38,157.81
28.58,157.09
28.78,155.85
28.98,155.48
29.18,155.01
29.38,154.97
29.58,154.99
29.78,155.6
29.98,155.74
30.18,156.11
30.39,156.71
30.59,157.62
30.79,157.71
30.99,158.5
31.19,158.23
31.39,158.49
31.59,158.83
31.79,158.7
31.99,158.74
32.19,158.65
32.39,158.26
32.59,157.74
32.79,157.78
32.99,157.52
33.19,157.63
33.39,157.55
33.59,158.06
33.79,157.54
33.99,157.21
34.19,157.29
34.39,157.91
34.59,157.72
34.79,158.09
34.99,158.6
35.19,158.41
35.39,158.24
35.59,158.09
35.79,157.98
35.99,158.7
36.19,158.72
36.39,158.6
36.59,158.63
36.79,158.6
36.99,158.43
37.19,158.38
37.39,158.75
37.59,158.68
37.79,159.15
37.99,159.2
38.19,158.83
38.39,158.37
38.59,158.77
38.79,158.41
38.99,159.14
39.19,158.9
39.39,159.21
39.59,158.37
39.79,158.76
39.99,158.6
40.19,158.8
40.39,159.29
40.59,160.27
40.79,159.69
40.99,160.13
41.19,160.07
41.39,160.3
41.59,159.61
41.79,160.3
41.99,159.94
42.19,159.18
42.39,159.21
42.59,159.49
42.79,160.01
42.99,159.05
43.19,157.45
43.39,155.52
43.59,154.21
43.79,152.03
43.99,150.8
44.19,150.83
44.39,150.74
44.59,150.62
44.79,150.71
44.99,150.67
45.19,151.3
