Time(S),GPU0_Power(W)
0.02,82.34
0.02,82.34
0.22,82.26
0.42,82.16
0.62,82.15
0.82,82.17
1.02,82.2
1.22,82.29
1.42,82.43
1.62,82.51
1.82,82.44
2.02,82.41
2.22,82.39
2.42,82.36
2.62,82.42
2.82,82.43
3.02,82.36
3.22,82.29
3.42,82.32
3.62,82.29
3.82,82.29
4.02,82.3
4.22,82.36
4.42,82.37
4.62,82.37
4.82,82.35
5.02,82.41
5.22,82.43
5.42,82.5
5.62,82.51
5.82,82.51
6.02,82.44
6.22,82.47
6.42,82.42
6.62,82.39
6.82,82.39
7.02,82.48
7.22,85.52
7.42,90.13
7.62,98.93
7.83,107.75
8.03,117.11
8.23,125.16
8.43,127.25
8.63,127.23
8.83,127.22
9.03,127.3
9.23,127.22
9.43,127.17
9.63,127.21
9.83,127.22
10.03,127.32
10.23,127.43
10.43,127.38
10.63,127.38
10.83,127.43
11.03,127.39
11.23,127.48
11.43,127.54
11.63,127.63
11.83,127.57
12.03,127.56
12.23,127.54
12.43,127.56
12.63,127.5
12.83,127.51
13.03,127.67
13.23,127.61
13.43,127.63
13.63,127.68
13.83,127.73
14.03,127.59
14.23,127.57
14.43,127.6
14.63,127.62
14.83,127.56
15.03,127.62
15.23,127.78
15.43,127.66
15.63,127.63
15.83,127.63
16.03,127.68
16.23,127.7
16.43,127.71
16.63,127.54
16.83,127.5
17.03,127.48
17.23,127.45
17.43,127.37
17.63,127.5
17.83,127.64
18.03,127.55
18.23,127.61
18.44,127.7
18.64,127.76
18.84,127.77
19.04,127.89
19.24,127.75
19.44,127.72
19.64,127.7
19.84,127.71
20.04,127.66
20.24,127.78
20.44,127.83
20.64,127.86
20.84,127.83
21.04,127.84
21.24,127.81
21.44,127.62
21.64,127.52
21.84,127.57
22.04,127.61
22.24,127.73
22.44,127.87
22.64,128.0
22.84,127.95
23.04,127.95
23.24,127.88
23.44,127.84
23.64,127.85
23.84,127.79
24.04,127.73
24.24,127.79
24.44,127.76
24.64,127.65
24.84,127.75
25.04,127.8
25.24,127.76
25.44,127.8
25.64,127.84
25.84,127.96
26.04,128.03
26.24,127.99
26.44,127.93
26.64,127.93
26.84,127.86
27.04,127.8
27.24,127.82
27.44,127.74
27.64,127.77
27.84,127.76
28.04,127.79
28.24,127.79
28.44,127.9
28.64,127.92
28.85,127.83
29.05,127.85
29.25,127.89
29.45,128.01
29.65,127.97
29.85,128.11
30.05,128.22
30.25,128.19
30.45,128.16
30.65,128.27
30.85,128.1
31.05,128.0
31.25,128.01
31.45,128.01
31.65,128.06
31.85,128.09
32.05,128.17
32.25,128.18
32.45,128.16
32.65,128.14
32.85,128.2
33.05,128.12
33.25,127.97
33.45,127.92
33.65,127.91
33.85,127.83
34.05,127.83
34.25,127.98
34.45,128.15
34.65,128.12
34.85,128.08
35.05,128.05
35.25,127.94
35.45,127.78
35.65,127.75
35.85,127.72
36.05,127.68
36.25,127.71
36.45,127.77
36.65,127.72
36.85,127.7
37.05,127.71
37.25,127.74
37.45,127.76
37.65,127.79
37.85,127.78
38.05,127.88
38.25,127.91
38.45,127.92
38.65,128.02
38.85,128.0
39.05,128.03
39.25,128.03
39.46,127.99
39.66,127.9
39.86,127.75
40.06,127.56
40.26,127.33
40.46,127.12
40.66,127.08
40.86,127.09
41.06,127.05
41.26,127.25
