Time(S),GPU0_Power(W)
0.00,123.0
0.00,123.0
0.20,100.0
0.40,84.0
0.60,133.0
0.80,135.0
1.00,134.0
1.20,132.0
1.40,89.0
1.60,83.0
1.80,82.0
2.00,82.0
2.20,82.0
2.40,82.0
2.60,82.0
2.80,82.0
3.00,119.0
3.20,130.0
3.40,100.0
3.60,84.0
3.80,82.0
4.00,82.0
4.20,82.0
4.40,82.0
4.60,102.0
4.80,127.0
5.00,118.0
5.20,87.0
5.40,82.0
5.60,82.0
5.80,82.0
6.00,82.0
6.20,82.0
6.40,82.0
6.60,82.0
6.80,82.0
7.00,82.0
7.20,82.0
7.40,82.0
7.60,82.0
7.80,82.0
8.00,82.0
8.20,82.0
8.40,82.0
8.60,82.0
8.80,82.0
9.00,82.0
9.20,82.0
9.40,87.0
9.60,104.0
9.80,85.0
10.00,82.0
10.20,82.0
10.40,82.0
10.60,82.0
10.80,82.0
11.00,82.0
11.20,107.0
11.40,125.0
11.60,130.0
11.80,132.0
12.00,133.0
12.20,133.0
12.40,133.0
12.60,132.0
12.80,126.0
13.00,150.0
13.20,173.0
13.40,224.0
13.60,119.0
13.80,87.0
14.00,140.0
14.20,339.0
14.40,393.0
14.60,274.0
14.80,257.0
15.00,192.0
15.20,115.0
15.41,114.0
15.61,158.0
15.81,163.0
16.01,127.0
16.21,108.0
16.41,144.0
16.61,131.0
16.81,157.0
17.01,155.0
17.21,109.0
17.41,149.0
17.61,164.0
17.81,126.0
18.01,136.0
18.21,105.0
18.41,134.0
18.61,106.0
18.81,90.0
19.01,96.0
19.21,111.0
19.41,91.0
19.61,88.0
19.81,83.0
20.01,82.0
20.21,81.0
20.41,81.0
20.61,82.0
20.81,82.0
21.01,82.0
21.21,85.0
21.41,83.0
21.61,82.0
21.81,82.0
22.01,82.0
22.21,81.0
22.41,106.0
22.61,97.0
22.81,112.0
