Time(S),GPU0_Power(W)
0.00,162.0
0.00,162.0
0.20,143.0
0.40,130.0
0.60,129.0
0.80,128.0
1.00,128.0
1.20,128.0
1.40,128.0
1.60,128.0
1.80,128.0
2.00,128.0
2.20,128.0
2.40,128.0
2.60,128.0
2.80,128.0
3.00,128.0
3.20,127.0
3.40,128.0
3.60,128.0
3.80,128.0
4.00,128.0
4.20,128.0
4.40,128.0
4.60,128.0
4.80,128.0
5.00,128.0
5.20,127.0
5.40,127.0
5.60,128.0
5.80,128.0
6.00,128.0
6.20,127.0
6.40,128.0
6.60,128.0
6.80,127.0
7.00,128.0
7.20,127.0
7.40,127.0
7.60,127.0
7.80,128.0
8.00,128.0
8.20,128.0
8.40,127.0
8.60,128.0
8.80,128.0
9.00,128.0
9.20,127.0
9.40,128.0
9.60,128.0
9.80,127.0
10.00,150.0
10.21,177.0
10.41,166.0
10.61,156.0
10.81,132.0
11.01,185.0
11.21,203.0
11.41,217.0
11.61,215.0
11.81,220.0
12.01,203.0
12.21,208.0
12.41,171.0
12.61,166.0
12.81,165.0
13.01,165.0
13.21,166.0
13.41,164.0
13.61,165.0
13.81,165.0
14.01,194.0
14.21,178.0
14.41,166.0
14.61,165.0
