Time(S),GPU0_Power(W)
0.25,267.2096786792964
0.25,261.95160104911
0.50,266.6421808768009
0.75,269.3553546821244
1.00,268.7997124585558
1.26,268.0139329013351
1.52,266.3596491456597
1.77,262.606791341883
2.01,267.8229661846258
2.26,260.6823168377601
2.51,274.1579176413603
2.75,261.3320856064523
3.00,271.0994470473373
3.24,272.1151133376516
3.49,270.4075465235617
3.74,273.4907285316413
3.99,266.4759504864094
4.23,265.8953522443404
4.48,271.7302104344024
4.72,265.4718162146594
4.97,263.4747072542156
5.22,269.051806205868
5.48,269.0912559617971
5.72,263.421544232562
5.97,268.6964701252338
6.22,264.2822233098894
6.46,263.2089535868949
