Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.12,158.55,118.22,115.2,117.46
0.12,158.54,118.38,115.45,118.08
0.32,158.6,118.36,115.43,118.08
0.52,158.53,118.37,115.43,118.18
0.72,158.46,118.41,115.42,118.02
0.92,158.34,118.34,115.37,111.2
1.12,147.82,115.92,110.44,99.61
1.32,132.12,105.71,100.34,89.1
1.53,117.7,96.37,91.14,80.25
1.73,102.95,85.96,82.49,70.85
1.93,88.65,75.6,72.56,70.17
2.13,85.93,70.33,69.1,70.05
2.33,85.52,70.17,68.98,70.01
2.53,85.2,70.01,68.91,69.97
2.73,84.83,69.99,68.88,69.93
2.93,84.64,70.1,68.87,69.93
3.13,84.5,70.08,68.89,69.94
3.33,84.24,70.11,68.87,69.96
3.53,84.0,70.17,68.87,69.94
3.74,83.9,70.23,68.88,69.94
3.94,83.68,70.15,68.86,69.96
4.14,83.46,70.09,68.87,69.96
4.34,83.39,70.05,68.85,69.93
4.54,83.3,69.99,68.87,69.92
4.74,83.25,69.9,68.84,69.93
4.94,83.33,69.98,68.83,69.94
5.14,83.43,70.04,68.78,69.93
5.35,83.47,70.01,68.77,69.92
5.93,83.25,70.2,68.77,69.86
6.50,82.71,70.01,68.82,69.84
7.63,82.33,69.89,68.78,69.92
8.42,82.26,69.86,68.78,69.88
8.62,82.25,69.89,68.75,69.85
8.82,82.12,69.84,68.75,69.84
9.03,82.04,69.81,68.76,69.82
9.23,82.03,69.83,68.78,69.82
9.43,82.0,69.76,68.77,69.84
9.64,81.91,69.78,68.76,69.88
10.00,94.97,69.85,68.75,69.85
10.25,107.77,69.88,68.74,69.81
10.45,120.21,70.0,68.71,69.8
10.65,133.51,70.02,68.71,69.8
10.85,144.73,69.99,68.71,69.77
11.05,145.17,70.0,68.72,69.76
11.25,144.75,69.93,68.71,69.8
11.45,144.72,69.93,68.73,69.81
11.65,144.89,69.91,68.72,69.78
11.85,145.23,69.9,68.73,69.75
12.05,145.45,69.85,68.71,69.76
12.25,145.51,69.86,68.73,69.77
12.45,145.75,69.82,68.72,69.78
12.65,145.91,69.76,68.72,69.79
12.85,146.66,69.68,68.71,69.77
13.99,147.02,69.73,68.73,69.8
14.82,147.35,69.91,68.72,69.79
15.66,147.54,69.95,68.69,69.78
16.47,147.9,69.91,68.73,69.79
17.39,148.07,69.91,68.71,69.75
17.75,148.17,69.94,68.71,69.79
18.11,148.17,69.92,68.7,69.77
18.46,148.22,69.83,68.7,69.79
18.79,148.3,69.78,68.71,69.81
19.13,148.44,69.76,68.7,69.76
19.51,148.49,69.83,68.7,69.76
19.87,148.49,69.85,68.7,69.75
20.22,148.55,69.88,68.69,69.79
20.58,148.71,69.89,68.69,69.78
20.94,148.77,69.85,68.68,69.77
21.29,148.71,69.81,68.69,69.78
21.67,148.79,69.83,68.65,69.78
22.04,148.88,69.84,68.66,69.78
22.38,149.0,69.78,68.7,69.78
23.28,148.94,69.74,68.69,69.8
23.69,149.07,69.9,68.68,69.78
24.53,149.2,69.86,68.71,69.75
25.34,149.27,69.74,68.71,69.76
26.18,149.2,69.77,68.69,69.76
26.66,149.22,69.79,68.69,69.74
26.87,149.32,69.82,68.68,69.75
27.08,149.37,69.83,68.66,69.75
27.29,149.31,69.83,68.68,69.73
27.50,149.39,69.82,68.67,69.74
27.71,149.47,69.78,68.67,69.75
27.92,149.44,69.79,68.67,69.76
28.13,149.41,69.81,68.68,69.78
28.35,149.49,69.77,68.68,69.78
28.55,149.53,69.75,68.68,69.78
28.76,149.48,69.78,68.69,69.8
28.97,149.5,69.8,68.7,69.79
29.18,149.58,69.77,68.69,69.78
29.39,149.54,69.81,68.71,69.8
29.60,149.49,69.81,68.68,69.83
29.81,149.55,69.78,68.68,69.78
30.02,149.63,69.82,68.69,69.78
30.23,149.56,69.84,68.72,69.79
30.44,149.58,69.84,68.71,69.79
30.65,149.67,69.83,68.72,69.78
30.86,149.68,69.86,68.71,69.8
31.07,149.6,69.85,68.7,69.79
31.28,149.62,69.87,68.69,69.79
31.49,149.72,69.84,68.69,69.78
31.70,149.7,69.86,68.7,69.77
31.91,149.64,69.82,68.7,69.79
32.12,149.73,69.83,68.7,69.81
32.33,149.77,69.82,68.71,69.81
32.54,149.7,69.85,68.69,69.81
32.75,149.71,69.84,68.68,69.82
32.96,149.78,69.86,68.67,69.78
33.17,149.78,69.82,68.68,69.76
33.38,149.7,69.82,68.66,69.78
33.58,149.78,69.8,68.67,69.76
33.80,149.82,69.78,68.69,69.75
34.01,149.78,69.78,68.69,69.77
34.22,149.84,72.08,68.66,69.74
34.69,149.89,81.51,68.66,69.71
34.89,149.83,92.27,73.6,69.72
35.11,149.79,98.7,82.04,69.71
35.31,149.86,107.29,90.51,76.96
35.51,149.74,114.58,97.27,84.46
35.71,152.1,114.89,105.71,93.28
35.91,152.22,114.67,112.72,102.0
36.11,152.27,114.79,112.02,110.71
36.31,152.47,114.86,111.92,115.13
36.51,150.35,114.06,111.32,114.28
36.98,150.29,114.07,111.23,114.27
37.18,150.19,114.05,111.24,114.25
37.41,150.35,114.4,112.17,115.13
37.61,151.71,115.62,113.06,116.26
37.81,151.71,115.71,113.12,116.25
38.01,153.51,116.31,113.68,116.85
38.21,153.53,116.37,113.62,116.74
38.41,156.01,117.99,114.86,117.5
38.78,156.71,118.85,116.26,119.04
39.16,160.04,121.05,118.06,121.69
39.36,162.23,122.65,119.24,123.39
39.71,162.56,122.07,119.21,122.95
39.91,168.84,126.7,123.49,127.59
40.11,165.01,123.93,120.53,123.92
40.48,164.98,124.24,120.74,124.0
40.68,158.54,118.82,116.45,119.35
40.99,158.57,118.87,116.44,119.53
41.19,162.03,121.81,119.05,122.15
41.39,162.9,122.82,119.82,123.36
41.59,164.84,123.79,121.09,124.07
41.79,162.54,122.72,119.73,122.69
42.10,162.97,122.8,119.51,122.93
42.30,163.2,122.57,119.73,122.15
42.50,162.94,122.85,120.41,123.05
42.70,165.11,124.02,120.99,124.18
42.90,168.72,127.17,123.72,127.09
43.10,169.26,126.76,123.07,126.7
43.30,164.5,123.08,119.96,123.83
43.67,165.31,123.84,120.6,124.32
43.87,164.74,122.97,119.77,123.46
44.07,165.57,122.88,120.02,122.66
44.27,165.86,123.35,120.16,123.68
44.47,170.47,126.13,123.43,126.43
44.67,167.82,124.31,121.42,124.33
44.87,170.2,126.28,123.47,126.52
45.07,169.31,125.8,123.47,126.47
45.27,170.87,127.02,124.11,127.19
45.47,166.49,124.02,121.0,124.09
45.67,169.19,126.13,123.92,126.65
45.87,163.17,122.13,119.29,122.66
46.21,162.44,121.11,118.25,121.28
46.41,162.32,121.92,118.97,122.21
46.62,162.03,121.66,118.99,122.05
46.82,159.73,119.95,117.42,120.3
47.02,160.69,120.62,118.28,121.5
47.38,163.02,122.26,119.87,123.26
47.58,160.7,120.8,117.53,121.38
47.91,161.12,120.63,117.46,120.66
48.11,162.53,121.6,118.63,121.76
48.31,162.64,121.92,118.71,121.66
48.51,164.08,122.57,119.78,122.53
48.71,169.13,125.94,122.53,125.77
48.91,169.0,126.02,122.69,126.02
49.11,165.66,122.93,120.26,123.63
49.41,165.77,123.33,120.55,123.8
49.61,166.74,123.85,120.95,124.41
49.81,167.14,124.21,121.18,124.28
50.01,166.77,124.19,121.0,124.23
50.21,165.5,123.42,119.88,123.04
50.59,165.21,122.88,119.83,122.66
50.79,164.81,122.64,119.39,122.12
50.99,166.43,124.19,120.9,123.91
51.19,165.32,123.89,120.67,123.65
51.39,170.19,127.13,123.93,127.51
51.59,171.43,126.76,124.22,127.29
51.79,169.63,125.66,123.21,126.11
51.99,165.58,122.68,120.25,123.43
52.30,165.33,122.92,120.37,123.2
52.50,160.64,119.85,116.68,119.63
52.83,161.62,121.21,117.63,121.0
53.23,162.64,121.29,117.96,120.77
53.43,160.31,120.15,116.92,119.57
53.63,158.72,118.83,115.99,118.59
53.90,161.95,120.91,117.59,120.78
54.10,166.46,123.25,120.55,123.57
54.30,166.11,123.62,121.46,124.26
54.50,167.12,124.02,121.66,124.56
54.70,170.79,127.06,124.73,127.52
54.90,171.9,128.03,124.91,127.23
55.10,170.98,127.8,124.1,127.53
55.30,166.99,124.69,121.11,123.96
55.50,168.82,126.27,122.52,125.66
55.70,170.17,126.35,123.12,125.83
55.90,170.3,126.33,122.95,126.0
56.10,166.2,123.15,120.0,123.6
56.34,167.36,123.77,121.0,123.77
56.54,166.09,123.55,120.65,123.63
56.74,165.3,122.71,119.31,122.21
56.94,166.98,124.19,121.2,124.03
57.14,170.1,126.39,123.33,125.73
57.34,167.16,124.63,121.29,123.82
57.54,163.91,121.73,119.4,121.37
57.78,164.74,122.36,119.54,121.94
57.98,164.82,123.04,119.62,122.18
58.18,165.15,122.92,120.14,122.69
58.38,167.9,124.62,121.34,123.95
58.58,171.12,127.05,123.97,126.98
58.78,172.16,127.9,124.41,127.09
58.98,165.75,123.56,119.78,123.45
59.25,165.04,123.31,120.1,123.06
59.45,166.63,124.16,119.67,122.99
