Time(S),GPU0_Power(W)
0.23,148.79
0.23,149.35
0.43,150.38
0.63,151.03
0.83,150.97
1.03,151.2
1.23,151.15
1.43,151.16
1.63,151.37
1.83,140.73
2.03,127.15
2.23,113.63
2.43,99.87
2.63,87.26
2.83,82.83
3.03,82.44
3.23,82.07
3.43,81.99
3.63,81.81
3.83,81.54
4.03,81.52
4.23,81.23
4.73,80.99
5.24,80.77
5.44,91.61
5.64,104.63
5.84,116.3
6.04,129.46
6.24,140.56
6.44,143.49
6.64,143.03
6.84,143.47
7.43,143.5
7.63,143.64
7.83,143.91
8.16,144.21
8.36,144.45
8.81,144.63
9.31,144.85
9.51,144.88
9.71,145.83
9.91,149.57
10.11,155.35
10.31,155.77
10.51,155.84
10.71,155.07
10.91,152.22
11.11,146.35
11.31,146.02
11.51,146.04
11.71,146.19
11.91,146.15
12.11,146.87
