Time(S),GPU0_Power(W)
0.02,129.05
0.02,129.05
0.22,129.69
0.42,130.31
0.62,131.05
0.82,131.86
1.02,132.11
1.22,130.22
1.42,120.61
1.62,111.34
1.82,101.78
2.02,91.39
2.22,83.65
2.42,83.64
2.62,83.64
2.82,83.56
3.02,83.43
3.22,83.33
3.42,83.24
3.62,83.14
3.82,83.16
4.02,83.18
4.22,83.23
4.42,83.24
4.62,83.26
4.82,83.22
5.02,83.24
5.22,83.29
5.42,83.25
5.62,83.25
5.82,83.23
6.02,83.24
6.22,83.21
6.42,83.2
6.62,83.14
6.82,83.18
7.02,85.64
7.22,94.61
7.42,103.78
7.62,112.72
7.82,120.83
8.02,127.91
8.23,127.7
8.43,127.82
8.63,128.01
8.83,128.21
9.03,128.37
9.23,128.44
9.43,128.5
9.63,128.93
9.83,129.4
10.03,129.9
10.23,130.25
10.43,130.75
10.63,130.83
10.83,130.91
11.03,131.0
11.23,131.24
11.43,131.41
11.63,131.35
11.83,131.36
12.03,131.53
12.23,131.52
12.43,131.43
12.63,131.42
12.83,131.26
13.03,131.01
13.23,130.88
13.43,130.72
13.63,130.89
13.83,131.03
14.03,131.2
14.23,131.21
14.43,131.15
14.63,131.04
14.83,131.16
15.03,131.05
15.23,131.06
15.43,131.03
15.63,131.09
15.83,131.09
16.03,131.04
16.23,131.1
16.43,131.14
16.63,131.05
16.83,131.05
17.03,131.07
17.23,131.09
17.43,131.14
17.63,131.21
17.84,131.07
18.04,130.97
18.24,130.98
18.44,130.92
18.64,130.91
18.84,131.13
19.04,131.16
19.24,131.23
19.44,131.28
19.64,131.26
19.84,131.24
20.04,131.1
20.24,130.77
20.44,130.64
20.64,130.63
20.84,130.32
21.04,130.37
21.24,130.64
21.44,130.82
21.64,130.92
21.84,131.27
22.04,131.32
22.24,131.16
22.44,131.17
22.64,131.11
22.84,130.97
23.04,131.04
23.24,131.11
23.44,131.23
23.64,131.34
23.84,131.39
24.04,131.37
24.24,131.27
24.44,131.01
24.64,130.98
24.84,130.82
25.04,130.77
25.24,130.78
25.44,130.88
25.64,131.01
25.84,131.04
26.04,130.71
26.24,130.97
26.44,130.93
26.64,130.84
26.84,130.83
27.04,130.8
27.24,130.85
27.44,130.95
27.64,131.06
27.84,131.03
28.04,131.06
28.24,131.14
28.45,131.06
28.65,131.01
28.85,131.05
29.05,131.02
29.25,131.04
29.45,131.33
29.65,131.34
29.85,131.3
30.05,131.47
30.25,131.4
30.45,131.14
30.65,131.05
30.85,131.07
31.05,131.04
31.25,131.23
31.45,131.4
31.65,131.43
31.85,131.26
32.05,131.05
32.25,130.95
32.45,130.8
32.65,130.68
32.85,130.65
33.05,130.8
33.25,130.96
33.45,131.11
33.65,131.09
33.85,131.26
34.05,131.25
34.25,131.01
34.45,130.94
34.65,130.83
34.85,130.68
35.05,130.83
35.25,130.79
35.45,130.57
35.65,130.87
35.85,130.96
36.05,130.9
36.25,131.03
36.45,131.06
36.65,131.06
36.85,131.07
37.05,130.98
37.25,131.16
37.45,131.1
37.65,131.11
37.85,131.2
38.05,131.26
38.25,131.02
38.46,131.08
38.66,130.93
38.86,130.88
39.06,130.82
39.26,130.91
39.46,130.92
39.66,130.92
39.86,131.04
40.06,131.09
40.26,131.17
40.46,131.21
40.66,131.08
40.86,130.98
41.06,131.04
41.26,131.19
41.46,131.35
41.66,131.43
41.86,131.4
42.06,131.34
42.26,131.15
42.46,131.07
42.66,130.86
42.86,130.97
43.06,131.09
43.26,131.13
43.46,131.23
43.66,131.17
43.86,130.98
44.06,130.76
44.26,130.78
44.46,130.7
44.66,130.78
44.86,130.96
45.06,131.01
45.26,131.36
45.46,131.29
45.66,131.15
45.86,130.99
46.06,130.92
46.26,130.62
46.46,130.23
46.66,129.71
46.86,129.3
47.06,128.84
47.26,128.4
47.46,128.24
47.66,128.33
47.86,128.28
48.06,128.35
