Time(S),GPU0_Power(W)
0.01,128.95
0.01,128.95
0.21,129.67
0.41,130.29
0.62,130.85
0.82,131.7
1.02,131.95
1.22,128.5
1.42,119.08
1.62,109.37
1.82,100.31
2.02,90.8
2.22,83.88
2.42,83.76
2.62,83.59
2.82,83.44
3.02,83.31
3.22,83.29
3.42,83.29
3.62,83.32
3.82,83.31
4.02,83.28
4.22,83.22
4.42,83.29
4.62,83.24
4.82,83.2
5.02,83.23
5.22,83.23
5.42,83.19
5.62,83.2
5.82,84.75
6.02,94.01
6.22,103.22
6.42,112.32
6.62,122.84
6.82,133.19
7.02,136.45
7.22,140.12
7.42,140.16
7.62,138.61
7.82,136.0
8.02,131.79
8.22,127.95
8.42,128.06
8.62,128.17
