Time(S),GPU0_Power(W)
0.00,126.0
0.00,126.0
0.20,109.0
0.40,84.0
0.60,132.0
0.80,134.0
1.00,133.0
1.20,131.0
1.40,131.0
1.60,131.0
1.80,131.0
2.00,131.0
2.20,131.0
2.40,131.0
2.60,131.0
2.80,131.0
3.00,140.0
3.20,132.0
3.40,131.0
3.60,131.0
3.80,100.0
4.00,83.0
4.20,81.0
4.40,81.0
4.60,116.0
4.80,85.0
5.00,81.0
5.20,81.0
5.40,81.0
5.60,81.0
5.80,81.0
6.00,81.0
6.20,81.0
6.40,81.0
6.60,81.0
6.80,81.0
7.00,81.0
7.20,81.0
7.40,81.0
7.60,81.0
7.80,81.0
8.00,81.0
8.20,81.0
8.40,81.0
8.60,81.0
8.80,81.0
9.00,81.0
9.20,108.0
9.40,122.0
9.60,130.0
9.80,131.0
10.00,100.0
10.20,83.0
10.40,81.0
10.60,120.0
10.80,132.0
11.00,131.0
11.20,132.0
11.40,132.0
11.60,132.0
11.80,132.0
12.00,132.0
12.20,132.0
12.40,132.0
12.60,100.0
12.80,128.0
13.00,136.0
13.20,137.0
13.40,137.0
13.61,137.0
13.81,138.0
14.01,149.0
14.21,164.0
14.41,152.0
14.61,172.0
14.81,132.0
15.01,88.0
15.21,140.0
15.41,166.0
15.61,181.0
15.81,185.0
16.01,197.0
16.21,149.0
16.41,97.0
16.61,155.0
16.81,111.0
17.01,95.0
17.21,88.0
17.41,84.0
17.61,81.0
17.81,82.0
18.01,81.0
18.21,81.0
18.41,81.0
18.61,81.0
18.81,81.0
19.01,81.0
19.21,81.0
19.41,81.0
19.61,81.0
19.81,85.0
20.01,82.0
20.21,81.0
20.41,81.0
20.61,81.0
20.81,82.0
21.01,93.0
21.21,97.0
